keywords,User,Time,Favorite count,retweets,Text
Travel Wallets Vanacci,_Backers_,2018/6/2 11:15,5,3,"The Vanacci Traveller Wallet - Minimalist style, Fully customizable, seriously safe wallets made for traveling the https://t.co/Bngr8p5Afg"
Reel Gardening,_sattva,2018/5/18 14:15,2,1,Sattva worked with @ReelGardening to design their Buy one Give one model. Check their campaign on Kickstarter to ta https://t.co/WOgIqgKMJ2
HUMBGO UV,18dMedia,2018/5/15 6:56,0,1,UV Rays-Reflecting Jackets - The Humbgo UV UPF176 Super Skin Coat Prevents Unwanted Sun Exposure ( https://t.co/4ZvxG7gCrZ
COMBAR,4NewSquare,2018/6/1 16:21,2,2,"Sian Mirchandani (@SianMirchandani) of @4NewSquare, speaking out in favour of litigation funding from the COMBAR No https://t.co/saJJXgKWzc"
Prometheus Writes,4Sevens,2018/5/16 19:30,3,1,The new @darksucks Kickstarter Campaign for the Alpha Bamboo Fountain Pen just launched. Get this into your pocket https://t.co/Y48JiLizZW
Walden Hammocks,5toclose,2018/5/30 2:34,2,1,"Walden #Hammocks: 3-in-1 Hammock, Shelter, #Camping Blanket by Church #Outdoor Gear on @Kickstarter https://t.co/oG59kUHLr5"
EQUA Smart Water Bottle,893lafm,2018/6/1 3:13,0,1,An organisation in Europe has invented a bottle that can control your daily hydration. Stella Korosec  Co Founder https://t.co/S2hXNi3tz6
FinalStraw,9Lamper,2018/5/15 22:37,1,2,"World's First Collapsible, Reusable Straw Fits Right On Your Keychain https://t.co/Rbbl1ZdI7f"
The Perfection Pillow,ABCDjamesbond,2018/5/28 20:14,0,1,I'm in with the chance to #win the ultimate Perfection Pillow worth Â£57 for the best night's sleep ever! Click the https://t.co/Zn63XcGVt9
Lost Worlds poster map,alpoma,2018/6/4 10:30,2,2,"Lost Worlds: an amazing fantasy map of lost continents, phantom islands and mythical creatures https://t.co/DY1prEGjfK"
BEDCHILL,AmberNLyon,2018/5/31 3:37,2,2,"This is a sick @kickstarter project. #Bedchill

https://t.co/ql0awh3eBO"
Kegtron,Androidheadline,2018/5/10 22:52,6,2,Kegtron Is A Smart Keg Monitor That Helps Keep The Beer Flowing https://t.co/7RwZtrL4ep https://t.co/kaFkDHr8lt
Abram Games,AntikBar,2018/5/25 14:58,3,2,"""Abram Games - The Shakespeare Project"" We've just sponsored this Kickstarter campaign featuring an unfinished proj https://t.co/ja10ZvjSCi"
Fidgi Pen 2.0,Art6561,2018/5/30 18:09,0,1,Fidgi Pen 2.0 is popular on @Kickstarter! https://t.co/Y1oiz3YUsv
CLRCASE,artofrecords,2018/5/10 19:48,4,2,CLRCASE has been awarded the project we love badge by @kickstarter! Thanks to the #vinyl community for all of the https://t.co/IDdkC1VSK9
VinyL Display,AutographItNow,2018/6/4 10:30,0,1,Framed Vinyl Cover (Spies Like Us) Display Signed by @PaulMcCartney ... #thebeatles #musicmonday #signedmemorabilia https://t.co/XZ0tCvk5fJ
Rotio Compass,BackerClub,2018/5/10 19:44,1,1,"Don't miss out on the Rotio Compass, last few days to pledge. Plus new reward options now available. https://t.co/0DiCcZvi06"
Pico U. Brew Everything.,BecomingSchultz,2018/5/21 14:30,1,1,PicoBrew - New Pico U. Brew Beyond Craft Beer | Trendy Gadget Review - https://t.co/RG7wfZCGSw via @trendygadgetrev
Aeroe BikePack,bikepackingcom,2018/6/1 11:30,9,2,NEWS: The Aeroe BikePack just launched on Kickstarter along with a new video showing these unique packs and mountin https://t.co/QdJjPZ479S
Revos,bikeradar,2018/5/22 6:49,5,1,Bolt-on e-bike conversion from Bristol https://t.co/JES1wPL78S
The Bandicoot Headlamp,BloomWatcher,2018/5/14 5:01,0,1,The Bandicoot Headlamp exceeded 100K$ on day 4  #Kickstarter https://t.co/apxQ7fXBY1 https://t.co/GgfXsOy4NP
FITT Cube,Bluehenbins,2018/5/17 18:41,0,1,Check out FITT Cube - The new shape of fitness by Josh Hume on @Kickstarter https://t.co/fZqqT3LLcN
Cyberspace Building Crew,BrownLeatherGuy,2018/5/12 14:17,1,1,"Cyberspace Building Crew | Embroidered Patches &amp; Stickers. 
Cool embroidered patches for internet workers https://t.co/F3tJk0wdvl"
A better paper bag,bsperk02,2018/5/21 22:14,15,4,It's 2018 and we still haven't found a better way to bag up flour/sugar than the 1ply paper bag?
Eco Travel Bags,byrnesyliam,2018/5/10 15:13,2,1,I was the first backer for this awesome @kickstarter project to make an awesome @sealandgear eco travel bag here in https://t.co/YpTqTImpwI
Bat n`Bunny Purmaid Enamel Pin Collection,c0ralsky,2018/5/26 22:24,3,1,"So I got an amazingly cute needle felted Purrmaid last year as a surprise commission from @BatnBunny, and she's now https://t.co/GH9yNKTmIR"
Abram Games,C20thPosters,2018/5/24 14:37,2,1,"This new online resource contain lots of info on poster artists and designers, including Abram Games, Hans Unger, H https://t.co/9Qp9YiPoeS"
Dubious Musicians,calamityware,2018/5/17 0:25,4,1,"#Music and small #plate fans, we gotcha covered! 9 days left. #monkeys #cymbals #triangle #drums #tambourine. https://t.co/ZbtCkpsguq"
SkySpider,CCTV,2018/5/31 19:00,8,2,The Skyspider is described as the worlds first skyscraper rescue backpack with braking system. The user clips a li https://t.co/L4waLDB11l
SIEGE STOVE,CherylDowning,2018/5/18 17:37,4,3,James Fisher just launched a #Kickstarter campaign for his #SiegeStove used for #camping. https://t.co/j6GjnaFq1o https://t.co/sTnmm0ProF
The Best Toiletry Bag For Traveling,chrisburkard,2018/5/30 19:50,16,1,Recently met some great guys in Utah who have designed a rad travel toiletry bag. Been testing it out for the last https://t.co/a1e4T4VU1t
Cafelat Robot,CoffeeGeek,2018/5/24 23:49,2,1,I normally do not promote Kickstarter campaigns any longer. Too many burns in the coffee world. But this is an exce https://t.co/FSkqYoI23i
Lever Gear CLiP System,coolmaterial,2018/5/23 19:32,5,1,The Lever Gear Clip System Offers Compact EDC Storage - https://t.co/k2M057z3RB https://t.co/Ht36tOO2aH
Double Dip Bars,Crowd_Fund_Pro,2018/5/14 13:33,137,6,Double Dip Bars| From Split Squats to Dips | Now on Kickstarter. #kickstarter #crowdfunding #fitness #productdesign https://t.co/dtuMUmtyZz
RISE ZUP,CrowdCBoost,2018/5/21 13:02,0,1,"We added 'RISE ZUP: Inflatable, All-in-One, Boat or Beach Boards' a new #design campaign! https://t.co/6TQc55HLuL"
Magic Office Chair Caster Wheels,crowdfundcash,2018/5/15 23:15,0,1,#Magic #OfficeChair Caster Wheels - #Protect Your #Floor is popular on @Kickstarter!  https://t.co/tQLXPsVw98 https://t.co/ooPH8i3Xmd
Mantisyoga,CrowdfundCentre,2018/5/21 0:05,0,1,Mantisyoga: Manifest Yoga Bag Se... - #crowdfund campaign 10 days left &amp; at 58% @mantisyoga https://t.co/8VQwyrzVXB
Max Pump 2,crowdfundedco,2018/6/4 0:06,1,1,"Max Pump 2, Best outdoor tool.Enjoy your leisure time!

https://t.co/s5ik0jHywl

@crowdfundedco @kickstarter https://t.co/136S4nGWxx"
Lever Gear CLiP System,crowdfundingbck,2018/5/29 14:53,8,7,"Lever Gear CLiP System: Compact Storage, Driver &amp; Flashlight - 188% Funded - https://t.co/I1JEZsn2nl https://t.co/9tauzwXJsK"
Rollux,CrowdfundLaunch,2018/5/12 9:56,0,7,#Rollux: The Most Versatile 2-in-1 #Suitcase Around https://t.co/ybaaa6RIj2
ShieldX,CryptoCrazyCat,2018/5/6 14:29,8,3,@officialmcafee Should take a look at this PROJECT. NO ICO NO PREMINE    #masternode #quantumproof #marketplace https://t.co/LN5PWGT1DT
Lever Gear CLiP System,CyberProsCanada,2018/5/18 12:46,2,3,"Lever Gear CLiP Multitool And Storage System  

Lever Gear has created a brand new multitool and storage system whi https://t.co/JWMtoAKj1U"
The Original Bucket Case Helmet Protector,DarthHair1,2018/5/22 2:06,0,1,Check out The Original Bucket Case Helmet Protector by Darth Hair on @Kickstarter https://t.co/Od38B3a9Vy #501st https://t.co/RUc3wURD6s
Rolleiflex Instant Kamera,designtaxi,2018/5/14 1:45,18,8,The Rolleiflex is back as an instant camera https://t.co/kOl3WT9CiN
COMBAR,DigitalTrends,2018/5/13 16:05,18,5,"The Combar heavy duty multi-tool is a @Leatherman on steroids. 
https://t.co/zzWBYrq6Pu"
DIY Miss Cupcake XL,DiscordiaCS,2018/5/20 12:56,3,1,DIY MISS CUPCAKE XL - Because some people could use a jumbo Glow In The Dark Cupcake on their Desk at Work. https://t.co/0Fq6L6Yxso
Wally Wallet,DistilUnion,2018/5/29 21:32,1,1,"Huzzah! Wally for #iPhoneX has passed 200 backers on @Kickstarter Only $1,897 more bucks to raise before we crush https://t.co/cZoo0J51iv"
Magic Office Chair Caster Wheels,DonationExperts,2018/5/15 23:15,0,1,#Magic #OfficeChair Caster Wheels - #Protect Your #Floor is popular on @Kickstarter!  https://t.co/NeCFtg0XEZ https://t.co/o07aIgTBhZ
Double Dip Bars,doubledipbars,2018/5/31 17:48,7,1,"2 weeks left of the Double Dip Bars @kickstarter Campaign!
https://t.co/PW9bG98XhO

-
-

Check out our new Affliate https://t.co/qNpq7mkI3b"
Kensa,DuchyChildcare,2018/5/25 16:33,1,1,Well done Kensa! https://t.co/fvCkC1byBX
Cold Brew on Tap 2.0,ealbishri,2018/5/18 13:23,0,1,I just backed Cold Brew on Tap 2.0 - At-Home Cold Brewing System on @Kickstarter https://t.co/kGPc0xIXur
The Bottery,ellenLupton,2018/6/1 11:57,14,2,"I just backed The Bottery, an amazing 3D printing project launched by our friends Virginia San Fratello and Ronald https://t.co/Z3H9XRaaI7"
Charles Darwin Quote Prints,em__lou,2018/5/18 14:06,0,1,Check out these Charles Darwin Quote Prints on @Kickstarter Only a few early birds left! https://t.co/5EG6LcxYkG https://t.co/OujXYD7F3j
Knotte,Empoweredlatin1,2018/5/31 22:16,1,1,#globalclimate #America #theworld Lets #suport this great product we sleep on !  #environment . #Kickstarter  https://t.co/tP6dTwoXqk
furniture that clips together,engineeringcom,2018/6/4 19:40,2,1,Can #furniture that clips together really last a lifetime? That's what @fuzl_co says their products can do. We expl https://t.co/BlJWStk0Ox
Neova,EnhanciaMusic,2018/5/14 15:42,5,3,Already 3 days left to pre-order our Neova MIDI controller! Did you get yours?  https://t.co/8vgs7BNkOA
Tiny Dragon Stuffed Animals,erincasey09,2018/6/1 3:50,4,3,My amazing friends @whimsiwhiskers are trying to raise money through kickstarter to sell these adorable little drag https://t.co/hISddEea3l
Flyte Denim,FlyteDenim,2018/5/28 15:01,1,1,"120% funded, 4 more weeks!
#kickstarter
https://t.co/D1oBE52xHQ"
Elfinbook 2.0,FrederickWolfe_,2018/6/1 0:19,0,1,"Check out Elfinbook 2.0 - The Ultimate Notebook @Kickstarter https://t.co/m5GyKknYy2
#Crowdfunding #Kickstarter #ProductDesign"
Rollux,FuguLuggage,2018/5/21 7:31,6,2,"Did you know we're live on #Kickstarter? Check out our #crowdfunding campaign (link in bio), watch the fun video an https://t.co/WDgrdKp1PF"
Sparkr Wick & Sparkr Flip,gadgetfeedco,2018/5/15 0:52,16,5,"These windproof and USB rechargeable electric lighters give you the flexibility to light up anything, anywhere, in https://t.co/ubHSeKsL6D"
Crua Koala,GadgetFlow,2018/5/21 9:11,3,4,Crua Koala Ultra Relaxing #Hammock by @thermotents https://t.co/ZlmHGcvByD The hammock is complete with luxury bedd https://t.co/fjyck1WP3n
VinyL Display,GamesShed,2018/5/28 12:29,8,1,"My favourite pop vinyl on display in my games room! What's your favourite?
.
.
#popvinyl #pop #gamepics #gaming https://t.co/HMZrhFiqcN"
Delux Designer,garvash,2018/5/30 8:05,3,2,I just backed Delux Designer - The Perfect Assistant for Designers on @Kickstarter https://t.co/RW5RAA54mR
Angle Bag,GenesisAPS,2018/5/15 13:57,3,3,"May is flying by - Don't worry, you still have 17 days to bag yourself amazing deals using the following codes:

CO https://t.co/cXqm6rblNC"
Rollux,ghimlay,2018/5/30 20:31,4,3,Expandable suitcase on @Kickstarter - perhaps consider adding a model that will hold everything but STILL fit under https://t.co/JWiiVkqW5a
A World Cup wall chart for fans with an eye for design,GiveUpArt,2018/5/21 13:55,2,1,I just backed 'A World Cup wall chart' from @studioblackburn -  for fans with an eye for design on @Kickstarter https://t.co/bVjfpkwp1F
SkySpider,gizmag,2018/5/24 8:32,0,1,SkySpider gives rescue backpack-users a brake - https://t.co/z3yCnoJmqL https://t.co/AgOMep33hV
Ohnut,glamourmag,2018/5/28 19:16,2,1,"If you suffer from pain during sex, this might be your new best friend. https://t.co/8dw2atbJ7G"
Neova,GLASYSmusic,2018/5/14 23:21,11,1,"Hotel Jam no. 1: Connected the @EnhanciaMusic Neova ring prototype to the @yamahasynth Reface CS, instant inspirati https://t.co/kt8wxwbGl4"
JOI,Godessbecca1,2018/5/16 5:40,0,1,"Still doing kik and Skype sessions. 

#kikme at goddessbecca1 or DM here to book. 

Nude show, joi, sph, cei and si https://t.co/BIH6kVxHQu"
Andymation's Flipbook Kit,grickle,2018/5/23 19:21,9,2,Andy's Flipbook Kickstarter is right here for anyone interested in making flipbooks! https://t.co/ZgUO0D4DK4
Golfkicks,Guyism,2018/6/4 16:30,1,1,Golfkicks Transform Your Sneakers Into Golf Shoes And Why Has No One Ever Done This Before?! https://t.co/OU3CtZsjir
The #HelloDonald Protest Hand,HelloDonald1,2018/5/27 13:51,1,1,@ItsMeCathi Hey Cathi! Wed love a RT to get our teeny orange ##HelloDonald Protest hands into production and into https://t.co/XxSMqHy1tC
"Bare Neck'd Ice Cooling Towels, Using (REAL ICE) for comfort",HFCNews,2018/5/25 4:17,0,1,"Check out Bare Neck'd Ice Cooling Towels, Using (REAL ICE) for comfort by William &amp;amp; Evelyn Turbeville on https://t.co/fOylmGzBuH"
EQUA Smart Water Bottle,HFGEnthusiast,2018/5/27 11:34,1,2,EQUA Smart Water Bottle: a hydration habit builder that glows when its time to take a sip of water #wearables https://t.co/zvO8ISIqpt
Youtube Spooky Boys Unsolved Supernatural Enamel Pins,housefrau_,2018/5/21 19:54,3,1,I just backed Youtube Spooky Boys Unsolved Supernatural Enamel Pins on @Kickstarter https://t.co/MuFNW5ZmZU
The Most Capable Solar-Powered Watch under $200,Huckberry,2018/5/15 21:53,5,1,Our longtime buddy and one of our favorite designers just launched his Kickstarter for a minimalist solar-powered w https://t.co/itGvfEp05N
LIT LAMP,IamKaylaVon,2018/5/29 1:52,4,1,Its lit like a lamp  https://t.co/ng7OOPGkdA
CollapseAndGo,IkosToys,2018/5/10 18:00,1,1,"Kids cups falling everywhere?
@CollapseAndGo might have a solution for that!
https://t.co/SG5aoaesNz
Support here: https://t.co/oQS78gLbe0"
DeoBlock,incubatoredu,2018/5/15 17:52,7,1,"Support INCubatoredu Class of 2016 team, @DeoTechLLC of @PalatineHS @HSDistrict211 in the final days of their https://t.co/ZaPOiSyMgI"
Product Gems,IndySaintsFC,2018/5/28 21:48,5,3," Limited time §£ 20% Off!

Guarantee your chance to snag one of these gems before they are history. Order today!

 https://t.co/wUqTn2TdMi"
Once rejected. Now their own toy.,Ivaninovuelven,2018/5/31 19:30,1,1,"Where were your childhood's toys' genitalia?
https://t.co/YeLhTjVhj8 #adoptaneudie #Kickstarter 
https://t.co/YeLhTjVhj8 #adoptaneudie"
HTK Mummy inspired pins,JackeyCarkey,2018/5/15 15:11,5,2,Hey this How To Keep a Mummy enamel pin project is ending soon and is 25% away from being fully funded! https://t.co/6LF8gRFVHc
THE BEST WEATHERPROOF JACKET FOR TRAVEL OR PHOTOGRAPHY,jacobleewick,2018/5/24 17:46,27,1,I just backed THE BEST WEATHERPROOF JACKET FOR TRAVEL OR PHOTOGRAPHY on @Kickstarter https://t.co/w8TN6JT630
VinyL Display,james3neal,2018/6/4 12:48,0,1,African American Music Appreciation Month | A Library Vinyl Record Display https://t.co/1aredCe0JV via @CityTechLibrary
Youtube Spooky Boys Unsolved Supernatural Enamel Pins,JaxOfBo,2018/5/21 19:48,3,2,I just backed Youtube Spooky Boys Unsolved Supernatural Enamel Pins on @Kickstarter https://t.co/suDTNeWVXr
RISE ZUP,jbaredesign,2018/5/31 11:57,1,1,"RISE ZUP: Inflatable, All-in-One, Boat or Beach Boards is popular on @Kickstarter! https://t.co/CzUgYrBpUj"
Adrenalease,JFC_RU,2018/5/18 12:30,2,1,"Our alumni #JFCinnovator, Noureddin Chahrour founder of @AdrenalEase, launched the world's first adjustable https://t.co/s4kT2AoYf1"
"Dutch Type, the book",joanatype,2018/5/18 12:05,4,1,"I just backed Dutch Type, the book: available again! on @Kickstarter https://t.co/6GleqSp55M"
SCULPTAFIT,JoeyAtlas,2018/5/8 18:36,2,2,"Brand new on @Kickstarter: SCULPTAFIT Home-Gym: The 30-minute, Family Fitness Solution by SCULPTAFIT https://t.co/MDGFcsEECW"
Tempest Carbon 2,johnbiggs,2018/5/16 17:00,1,1,The @TempestWatches Carbon 2 is back on @Kickstarter - go go go! #forgedcarbon #divewatch #under$1000 #crowdfunding https://t.co/2o8hhiZ60f
Abram Games,johnhalton,2018/5/26 17:48,1,1,"Picked up this postcard at @JewishMuseumLDN today. A design classic from Abram Games, who also designed the Festiva https://t.co/rqVHOJFdK7"
The Bottery,JonathanBobrow,2018/6/5 0:00,3,2,There is still time to get your hands on the beautiful work of Ronald Real and collaborators on @kickstarter Would https://t.co/jUUzDQmEMe
LEGOÂ® Card Catalog and Book Drop Kits for Library Folks,joy_m_banks,2018/5/25 17:41,4,1,I just backed LEGOÂ® Card Catalog and Book Drop Kits for Library Folks on @Kickstarter bc how could I not? I already https://t.co/maAA2Gb8lY
Gumdrop,juliyeauuh,2018/5/29 8:01,0,1,its this lil mochi gumdrop loml double faced baby's birthday and lemme give him all my love ur now my age ily pls s https://t.co/v2rNlnDlOP
ONLY Kickstarter project ever,jwisser,2018/5/13 1:44,4,1,The only failed Kickstarter project I ever backed has had a larger effect on my life than all the others combined. https://t.co/b2mABg2CNk
Breaker One Bag,KatrinaHaffner,2018/5/29 22:20,0,1,This backpack on @kickstarter OS one designed for all experiences. Read my interview with Jon Paul White to learn m https://t.co/XWZAXKC7kj
